YEAR,DOY,T2M_MAX,T2M_MIN,RH2M
2023,307,18.7,12.3,90.5
2023,308,17.07,10.99,92.25
2023,309,16.22,10.23,92.94
2023,310,16.15,9.41,92.75
2023,311,15.9,8.8,93.12
2023,312,16.87,7.73,90.19
2023,313,17.95,9.03,93.0
2023,314,17.04,10.62,93.44
2023,315,17.89,9.4,91.81
2023,316,18.5,10.0,92.44
2023,317,18.51,10.65,92.94
2023,318,18.6,10.29,91.25
2023,319,16.49,11.39,92.81
2023,320,17.69,10.03,89.88
2023,321,19.1,12.32,83.94
2023,322,18.62,12.21,92.5
2023,323,18.76,12.96,91.38
2023,324,15.73,12.6,93.94
2023,325,18.02,12.0,86.56
2023,326,19.31,12.38,87.75
2023,327,17.48,12.23,91.25
2023,328,16.39,10.7,91.5
2023,329,16.64,10.17,93.25
2023,330,14.96,10.15,94.62
2023,331,16.93,9.98,93.38
2023,332,16.9,10.29,93.38
2023,333,17.27,10.27,93.38
2023,334,18.08,9.19,91.81
2023,335,16.95,10.22,93.81
2023,336,17.96,10.03,92.75
2023,337,19.02,9.59,91.25
2023,338,19.01,10.42,92.88
2023,339,17.41,11.4,93.5
2023,340,16.96,9.91,93.0
2023,341,17.05,10.69,89.69
2023,342,16.49,9.81,94.38
2023,343,17.22,10.48,93.38
2023,344,17.38,10.57,93.69
2023,345,17.27,10.2,93.56
2023,346,17.48,10.23,94.06
2023,347,17.62,11.53,92.88
2023,348,19.09,10.64,90.94
2023,349,17.9,12.78,93.06
2023,350,17.73,12.4,90.56
2023,351,18.67,11.21,88.38
2023,352,18.2,12.31,92.38
2023,353,18.33,12.8,91.44
2023,354,18.93,12.63,91.56
2023,355,16.92,12.39,92.31
2023,356,16.74,11.48,91.62
2023,357,18.65,11.07,93.31
2023,358,18.15,11.48,93.81
2023,359,17.65,12.8,94.25
2023,360,16.8,13.2,93.31
2023,361,16.37,12.09,95.0
2023,362,17.43,12.13,93.44
2023,363,17.4,12.88,90.75
2023,364,18.3,12.49,91.69
2023,365,17.07,12.76,91.38
2024,1,17.05,12.32,95.25
2024,2,18.36,13.02,92.38
2024,3,18.51,12.63,91.62
2024,4,18.0,11.97,92.69
2024,5,17.51,12.15,93.19
2024,6,17.44,11.75,93.12
2024,7,17.36,10.51,90.62
2024,8,17.82,10.29,93.19
2024,9,17.66,10.65,93.31
2024,10,17.33,10.35,91.62
2024,11,17.88,10.17,87.56
2024,12,17.71,11.12,87.56
2024,13,18.52,11.12,87.88
2024,14,18.32,10.89,88.25
